2021-02-26 04:20:13,475 - datasetCreation - INFO - Starting
2021-02-26 04:20:13,476 - datasetCreation - INFO - found target scan 1, checking for potential sources to harmonize
2021-02-26 04:20:13,832 - datasetCreation - INFO - found potential source scan 26, checking for overlap
2021-02-26 04:22:44,197 - datasetCreation - INFO - [None|26][ts] overlap size post-filter: (609777, 9)
2021-02-26 04:22:44,994 - datasetCreation - INFO - [None|26][ts] overlap size post-resample: (20317, 9)
2021-02-26 04:22:54,297 - datasetCreation - INFO - Starting
2021-02-26 04:22:54,299 - datasetCreation - INFO - found target scan 1, checking for potential sources to harmonize
2021-02-26 04:22:54,691 - datasetCreation - INFO - found potential source scan 26, checking for overlap
2021-02-26 04:24:48,290 - datasetCreation - INFO - Starting
2021-02-26 04:24:48,292 - datasetCreation - INFO - found target scan 1, checking for potential sources to harmonize
2021-02-26 04:24:48,689 - datasetCreation - INFO - found potential source scan 26, checking for overlap
2021-02-26 04:24:55,781 - datasetCreation - INFO - Starting
2021-02-26 04:24:55,782 - datasetCreation - INFO - found target scan 1, checking for potential sources to harmonize
2021-02-26 04:24:56,138 - datasetCreation - INFO - found potential source scan 26, checking for overlap
2021-02-26 04:27:32,912 - datasetCreation - INFO - [1|26][ts] overlap size post-filter: (606631, 9)
2021-02-26 04:27:33,640 - datasetCreation - INFO - [1|26][ts] overlap size post-resample: (20320, 9)
2021-02-26 04:28:47,087 - datasetCreation - INFO - Starting
2021-02-26 04:28:47,088 - datasetCreation - INFO - found target scan 1, checking for potential sources to harmonize
2021-02-26 04:28:47,453 - datasetCreation - INFO - found potential source scan 26, checking for overlap
2021-02-26 04:46:59,033 - datasetCreation - INFO - Starting
2021-02-26 04:47:10,720 - datasetCreation - INFO - found target scan 1, checking for potential sources to harmonize
2021-02-26 04:47:11,091 - datasetCreation - INFO - found potential source scan 26, checking for overlap
2021-02-26 04:48:43,285 - datasetCreation - INFO - Starting
2021-02-26 04:50:18,611 - datasetCreation - INFO - Starting
2021-02-26 04:50:18,620 - datasetCreation - INFO - found target scan 1, checking for potential sources to harmonize
2021-02-26 04:50:19,013 - datasetCreation - INFO - found potential source scan 26, checking for overlap
2021-02-26 04:52:54,073 - datasetCreation - INFO - [1|26][ts] overlap size post-filter: (605243, 9)
2021-02-26 04:52:54,809 - datasetCreation - INFO - [1|26][ts] overlap size post-resample: (20317, 9)
2021-02-26 04:53:09,018 - datasetCreation - INFO - found sufficent overlap, sampling outside
2021-02-26 04:55:11,762 - datasetCreation - INFO - [1|26][ss] overlap size post-filter: (4189298, 9)
2021-02-26 04:55:15,649 - datasetCreation - INFO - [1|26][ss] overlap size post-resample: (20569, 9)
2021-02-26 04:55:32,316 - datasetCreation - INFO - found potential source scan 29, checking for overlap
2021-02-26 04:56:35,059 - datasetCreation - INFO - [1|29][ts] overlap size post-filter: (7776, 9)
2021-02-26 04:56:35,392 - datasetCreation - INFO - found potential source scan 37, checking for overlap
2021-02-26 04:59:39,200 - datasetCreation - INFO - [1|37][ts] overlap size post-filter: (223548, 9)
2021-02-26 04:59:39,526 - datasetCreation - INFO - [1|37][ts] overlap size post-resample: (20349, 9)
2021-02-26 04:59:55,945 - datasetCreation - INFO - found sufficent overlap, sampling outside
2021-02-26 05:02:35,756 - datasetCreation - INFO - [1|37][ss] overlap size post-filter: (5750265, 9)
2021-02-26 05:02:41,090 - datasetCreation - INFO - [1|37][ss] overlap size post-resample: (20600, 9)
2021-02-26 05:02:58,154 - datasetCreation - INFO - found potential source scan 3, checking for overlap
2021-02-26 05:03:10,376 - datasetCreation - INFO - [1|3][ts] overlap size post-filter: (0, 9)
2021-02-26 05:03:10,681 - datasetCreation - INFO - found potential source scan 21, checking for overlap
2021-02-26 05:11:09,193 - datasetCreation - INFO - Starting
2021-02-26 05:11:09,198 - datasetCreation - INFO - found target scan 1, checking for potential sources to harmonize
2021-02-26 05:11:09,570 - datasetCreation - INFO - found potential source scan 26, checking for overlap
2021-02-26 05:13:45,161 - datasetCreation - INFO - [1|26][ts] overlap size post-filter: (616523, 9)
2021-02-26 05:13:45,893 - datasetCreation - INFO - [1|26][ts] overlap size post-resample: (20324, 9)
2021-02-26 05:13:59,531 - datasetCreation - INFO - found sufficent overlap, sampling outside
2021-02-26 05:15:58,058 - datasetCreation - INFO - [1|26][ss] overlap size post-filter: (4121656, 9)
2021-02-26 05:16:01,751 - datasetCreation - INFO - [1|26][ss] overlap size post-resample: (20566, 9)
2021-02-26 05:16:17,228 - datasetCreation - INFO - found potential source scan 29, checking for overlap
2021-02-26 05:17:20,345 - datasetCreation - INFO - [1|29][ts] overlap size post-filter: (6130, 9)
2021-02-26 05:17:20,708 - datasetCreation - INFO - found potential source scan 37, checking for overlap
2021-02-26 05:20:17,304 - datasetCreation - INFO - [1|37][ts] overlap size post-filter: (223663, 9)
2021-02-26 05:20:17,618 - datasetCreation - INFO - [1|37][ts] overlap size post-resample: (20352, 9)
2021-02-26 05:20:32,688 - datasetCreation - INFO - found sufficent overlap, sampling outside
2021-02-26 05:23:05,058 - datasetCreation - INFO - [1|37][ss] overlap size post-filter: (5722480, 9)
2021-02-26 05:23:10,221 - datasetCreation - INFO - [1|37][ss] overlap size post-resample: (20600, 9)
2021-02-26 05:23:26,023 - datasetCreation - INFO - found potential source scan 3, checking for overlap
2021-02-26 05:23:39,141 - datasetCreation - INFO - [1|3][ts] overlap size post-filter: (0, 9)
2021-02-26 05:23:39,421 - datasetCreation - INFO - found potential source scan 21, checking for overlap
2021-02-26 05:31:35,509 - datasetCreation - INFO - [1|21][ts] overlap size post-filter: (1834800, 9)
2021-02-26 05:31:37,273 - datasetCreation - INFO - [1|21][ts] overlap size post-resample: (20422, 9)
2021-02-26 05:31:53,639 - datasetCreation - INFO - found sufficent overlap, sampling outside
