300: ftp://ftp.kymartian.ky.gov/kyaped/LAZ/
200: filename content-length last-modified file-type
201: "KyPtCloudTileIndex.zip" 2092334 Tue%2C%2010%20Apr%202018%2014%3A46%3A00%20GMT FILE 
201: "laszip.exe" 1187840 Wed%2C%2006%20Jun%202018%2007%3A35%3A00%20GMT FILE 
201: "MicrostationInfo" 0 Wed%2C%2019%20Sep%202018%2018%3A36%3A00%20GMT DIRECTORY 
201: "N011E284.laz" 1406 Mon%2C%2004%20Aug%202014%2008%3A20%3A00%20GMT FILE 
201: "N011E285.laz" 10070778 Mon%2C%2004%20Aug%202014%2008%3A20%3A00%20GMT FILE 
201: "N011E286.laz" 7624271 Mon%2C%2004%20Aug%202014%2008%3A20%3A00%20GMT FILE 
201: "N011E287.laz" 4268451 Mon%2C%2004%20Aug%202014%2008%3A20%3A00%20GMT FILE 
201: "N012E284.laz" 10023245 Mon%2C%2004%20Aug%202014%2008%3A20%3A00%20GMT FILE 
201: "N012E285.laz" 19306999 Mon%2C%2004%20Aug%202014%2008%3A21%3A00%20GMT FILE 
201: "N012E286.laz" 28498087 Mon%2C%2004%20Aug%202014%2008%3A21%3A00%20GMT FILE 
201: "N012E287.laz" 17205883 Mon%2C%2004%20Aug%202014%2008%3A21%3A00%20GMT FILE 
201: "N012E288.laz" 4671659 Mon%2C%2004%20Aug%202014%2008%3A21%3A00%20GMT FILE 
201: "N013E283.laz" 5662499 Mon%2C%2004%20Aug%202014%2008%3A21%3A00%20GMT FILE 
201: "N013E284.laz" 22599230 Mon%2C%2004%20Aug%202014%2008%3A22%3A00%20GMT FILE 
201: "N013E285.laz" 38757260 Mon%2C%2004%20Aug%202014%2008%3A22%3A00%20GMT FILE 
201: "N013E286.laz" 30787123 Mon%2C%2004%20Aug%202014%2008%3A23%3A00%20GMT FILE 
201: "N013E287.laz" 32663533 Mon%2C%2004%20Aug%202014%2008%3A23%3A00%20GMT FILE 
201: "N013E288.laz" 16346341 Mon%2C%2004%20Aug%202014%2008%3A23%3A00%20GMT FILE 
201: "N013E289.laz" 1964870 Mon%2C%2004%20Aug%202014%2008%3A23%3A00%20GMT FILE 
201: "N013E300.laz" 1359137 Fri%2C%2017%20May%202013%2006%3A34%3A00%20GMT FILE 
201: "N013E301.laz" 12962737 Fri%2C%2017%20May%202013%2006%3A34%3A00%20GMT FILE 
201: "N013E302.laz" 16304928 Fri%2C%2017%20May%202013%2006%3A34%3A00%20GMT FILE 
201: "N013E303.laz" 6140534 Fri%2C%2017%20May%202013%2006%3A34%3A00%20GMT FILE 
201: "N014E281.laz" 3687340 Mon%2C%2004%20Aug%202014%2008%3A23%3A00%20GMT FILE 
201: "N014E282.laz" 17574665 Mon%2C%2004%20Aug%202014%2008%3A24%3A00%20GMT FILE 
201: "N014E283.laz" 28862103 Mon%2C%2004%20Aug%202014%2008%3A24%3A00%20GMT FILE 
201: "N014E284.laz" 38716975 Mon%2C%2004%20Aug%202014%2008%3A25%3A00%20GMT FILE 
201: "N014E285.laz" 29317369 Mon%2C%2004%20Aug%202014%2008%3A25%3A00%20GMT FILE 
201: "N014E286.laz" 28734847 Mon%2C%2004%20Aug%202014%2008%3A26%3A00%20GMT FILE 
201: "N014E287.laz" 28047646 Mon%2C%2004%20Aug%202014%2008%3A26%3A00%20GMT FILE 
201: "N014E288.laz" 27287410 Mon%2C%2004%20Aug%202014%2008%3A27%3A00%20GMT FILE 
201: "N014E289.laz" 16318618 Mon%2C%2004%20Aug%202014%2008%3A27%3A00%20GMT FILE 
201: "N014E290.laz" 4654786 Mon%2C%2004%20Aug%202014%2008%3A27%3A00%20GMT FILE 
201: "N014E291.laz" 14267 Mon%2C%2004%20Aug%202014%2008%3A27%3A00%20GMT FILE 
201: "N014E296.laz" 135919 Fri%2C%2017%20May%202013%2006%3A36%3A00%20GMT FILE 
201: "N014E297.laz" 4356963 Fri%2C%2017%20May%202013%2006%3A36%3A00%20GMT FILE 
201: "N014E298.laz" 1134429 Fri%2C%2017%20May%202013%2006%3A36%3A00%20GMT FILE 
201: "N014E299.laz" 278606 Fri%2C%2017%20May%202013%2006%3A36%3A00%20GMT FILE 
201: "N014E300.laz" 12052069 Fri%2C%2017%20May%202013%2006%3A36%3A00%20GMT FILE 
201: "N014E301.laz" 28561306 Fri%2C%2017%20May%202013%2006%3A36%3A00%20GMT FILE 
201: "N014E302.laz" 31579908 Fri%2C%2017%20May%202013%2006%3A37%3A00%20GMT FILE 
201: "N014E303.laz" 21259895 Fri%2C%2017%20May%202013%2006%3A37%3A00%20GMT FILE 
201: "N014E304.laz" 1352601 Fri%2C%2017%20May%202013%2006%3A37%3A00%20GMT FILE 
201: "N015E280.laz" 6677604 Mon%2C%2004%20Aug%202014%2008%3A27%3A00%20GMT FILE 
201: "N015E281.laz" 34859794 Mon%2C%2004%20Aug%202014%2008%3A28%3A00%20GMT FILE 
201: "N015E282.laz" 31140673 Mon%2C%2004%20Aug%202014%2008%3A28%3A00%20GMT FILE 
201: "N015E283.laz" 35297666 Mon%2C%2004%20Aug%202014%2008%3A29%3A00%20GMT FILE 
201: "N015E284.laz" 33805783 Mon%2C%2004%20Aug%202014%2008%3A29%3A00%20GMT FILE 
201: "N015E285.laz" 26290713 Mon%2C%2004%20Aug%202014%2008%3A29%3A00%20GMT FILE 
201: "N015E286.laz" 24883821 Mon%2C%2004%20Aug%202014%2008%3A30%3A00%20GMT FILE 
201: "N015E287.laz" 24752963 Mon%2C%2004%20Aug%202014%2008%3A30%3A00%20GMT FILE 
201: "N015E288.laz" 30582652 Mon%2C%2004%20Aug%202014%2008%3A30%3A00%20GMT FILE 
201: "N015E289.laz" 29106983 Mon%2C%2004%20Aug%202014%2008%3A31%3A00%20GMT FILE 
201: "N015E290.laz" 21179619 Mon%2C%2004%20Aug%202014%2008%3A31%3A00%20GMT FILE 
201: "N015E291.laz" 15921182 Mon%2C%2004%20Aug%202014%2008%3A32%3A00%20GMT FILE 
201: "N015E292.laz" 6021272 Mon%2C%2004%20Aug%202014%2008%3A32%3A00%20GMT FILE 
201: "N015E296.laz" 9819708 Fri%2C%2017%20May%202013%2006%3A39%3A00%20GMT FILE 
201: "N015E297.laz" 23717713 Fri%2C%2017%20May%202013%2006%3A40%3A00%20GMT FILE 
201: "N015E298.laz" 19870819 Fri%2C%2017%20May%202013%2006%3A40%3A00%20GMT FILE 
201: "N015E299.laz" 23329781 Mon%2C%2004%20Aug%202014%2008%3A32%3A00%20GMT FILE 
201: "N015E300.laz" 36793249 Mon%2C%2004%20Aug%202014%2008%3A33%3A00%20GMT FILE 
201: "N015E301.laz" 45062330 Mon%2C%2004%20Aug%202014%2008%3A34%3A00%20GMT FILE 
201: "N015E302.laz" 29266848 Fri%2C%2017%20May%202013%2006%3A40%3A00%20GMT FILE 
201: "N015E303.laz" 28781661 Fri%2C%2017%20May%202013%2006%3A40%3A00%20GMT FILE 
201: "N015E304.laz" 5613067 Fri%2C%2017%20May%202013%2006%3A40%3A00%20GMT FILE 
201: "N016E278.laz" 147702 Mon%2C%2004%20Aug%202014%2008%3A34%3A00%20GMT FILE 
201: "N016E279.laz" 6465725 Mon%2C%2004%20Aug%202014%2008%3A34%3A00%20GMT FILE 
201: "N016E280.laz" 29230389 Mon%2C%2004%20Aug%202014%2008%3A35%3A00%20GMT FILE 
201: "N016E281.laz" 38618542 Mon%2C%2004%20Aug%202014%2008%3A35%3A00%20GMT FILE 
201: "N016E282.laz" 31378938 Mon%2C%2004%20Aug%202014%2008%3A36%3A00%20GMT FILE 
201: "N016E283.laz" 28646578 Mon%2C%2004%20Aug%202014%2008%3A37%3A00%20GMT FILE 
201: "N016E284.laz" 24237724 Mon%2C%2004%20Aug%202014%2008%3A37%3A00%20GMT FILE 
201: "N016E285.laz" 23509527 Mon%2C%2004%20Aug%202014%2008%3A38%3A00%20GMT FILE 
201: "N016E286.laz" 24688177 Mon%2C%2004%20Aug%202014%2008%3A38%3A00%20GMT FILE 
201: "N016E287.laz" 22842025 Mon%2C%2004%20Aug%202014%2008%3A39%3A00%20GMT FILE 
201: "N016E288.laz" 22170999 Mon%2C%2004%20Aug%202014%2008%3A39%3A00%20GMT FILE 
201: "N016E289.laz" 29024023 Mon%2C%2004%20Aug%202014%2008%3A40%3A00%20GMT FILE 
201: "N016E290.laz" 25924130 Mon%2C%2004%20Aug%202014%2008%3A40%3A00%20GMT FILE 
201: "N016E291.laz" 28338032 Mon%2C%2004%20Aug%202014%2008%3A41%3A00%20GMT FILE 
201: "N016E292.laz" 21051279 Mon%2C%2004%20Aug%202014%2008%3A41%3A00%20GMT FILE 
201: "N016E293.laz" 9732834 Mon%2C%2004%20Aug%202014%2008%3A41%3A00%20GMT FILE 
201: "N016E294.laz" 8166012 Fri%2C%2017%20May%202013%2006%3A43%3A00%20GMT FILE 
201: "N016E295.laz" 19778392 Fri%2C%2017%20May%202013%2006%3A43%3A00%20GMT FILE 
201: "N016E296.laz" 27232342 Fri%2C%2017%20May%202013%2006%3A44%3A00%20GMT FILE 
201: "N016E297.laz" 36056744 Fri%2C%2017%20May%202013%2006%3A44%3A00%20GMT FILE 
201: "N016E298.laz" 50529951 Mon%2C%2004%20Aug%202014%2008%3A42%3A00%20GMT FILE 
201: "N016E299.laz" 44145860 Mon%2C%2004%20Aug%202014%2008%3A43%3A00%20GMT FILE 
201: "N016E300.laz" 48182690 Mon%2C%2004%20Aug%202014%2008%3A44%3A00%20GMT FILE 
201: "N016E301.laz" 58230395 Mon%2C%2004%20Aug%202014%2008%3A45%3A00%20GMT FILE 
201: "N016E302.laz" 48313621 Mon%2C%2004%20Aug%202014%2008%3A46%3A00%20GMT FILE 
201: "N016E303.laz" 52569967 Mon%2C%2004%20Aug%202014%2008%3A47%3A00%20GMT FILE 
201: "N016E304.laz" 10817580 Mon%2C%2004%20Aug%202014%2008%3A48%3A00%20GMT FILE 
201: "N017E277.laz" 2273565 Mon%2C%2004%20Aug%202014%2008%3A48%3A00%20GMT FILE 
201: "N017E278.laz" 14897944 Mon%2C%2004%20Aug%202014%2008%3A48%3A00%20GMT FILE 
201: "N017E279.laz" 26783681 Mon%2C%2004%20Aug%202014%2008%3A48%3A00%20GMT FILE 
201: "N017E280.laz" 32447152 Mon%2C%2004%20Aug%202014%2008%3A49%3A00%20GMT FILE 
201: "N017E281.laz" 36626077 Mon%2C%2004%20Aug%202014%2008%3A50%3A00%20GMT FILE 
201: "N017E282.laz" 31068087 Mon%2C%2004%20Aug%202014%2008%3A50%3A00%20GMT FILE 
201: "N017E283.laz" 30155322 Mon%2C%2004%20Aug%202014%2008%3A51%3A00%20GMT FILE 
201: "N017E284.laz" 26490739 Mon%2C%2004%20Aug%202014%2008%3A52%3A00%20GMT FILE 
201: "N017E285.laz" 30311191 Mon%2C%2004%20Aug%202014%2008%3A52%3A00%20GMT FILE 
201: "N017E286.laz" 25205725 Mon%2C%2004%20Aug%202014%2008%3A53%3A00%20GMT FILE 
201: "N017E287.laz" 22434804 Mon%2C%2004%20Aug%202014%2008%3A53%3A00%20GMT FILE 
201: "N017E288.laz" 22427255 Mon%2C%2004%20Aug%202014%2008%3A54%3A00%20GMT FILE 
201: "N017E289.laz" 21286616 Mon%2C%2004%20Aug%202014%2008%3A54%3A00%20GMT FILE 
201: "N017E290.laz" 20823934 Mon%2C%2004%20Aug%202014%2008%3A55%3A00%20GMT FILE 
201: "N017E291.laz" 23016089 Mon%2C%2004%20Aug%202014%2008%3A56%3A00%20GMT FILE 
201: "N017E292.laz" 32415192 Mon%2C%2004%20Aug%202014%2008%3A56%3A00%20GMT FILE 
201: "N017E293.laz" 31162613 Mon%2C%2004%20Aug%202014%2008%3A57%3A00%20GMT FILE 
201: "N017E294.laz" 26714161 Fri%2C%2017%20May%202013%2006%3A48%3A00%20GMT FILE 
201: "N017E295.laz" 26163200 Fri%2C%2017%20May%202013%2006%3A48%3A00%20GMT FILE 
201: "N017E296.laz" 30505851 Fri%2C%2017%20May%202013%2006%3A48%3A00%20GMT FILE 
201: "N017E297.laz" 46535834 Mon%2C%2004%20Aug%202014%2008%3A58%3A00%20GMT FILE 
201: "N017E298.laz" 57815789 Mon%2C%2004%20Aug%202014%2008%3A59%3A00%20GMT FILE 
201: "N017E299.laz" 56993260 Mon%2C%2004%20Aug%202014%2009%3A00%3A00%20GMT FILE 
201: "N017E300.laz" 46625761 Mon%2C%2004%20Aug%202014%2009%3A01%3A00%20GMT FILE 
201: "N017E301.laz" 63419935 Mon%2C%2004%20Aug%202014%2009%3A02%3A00%20GMT FILE 
201: "N017E302.laz" 44822014 Mon%2C%2004%20Aug%202014%2009%3A02%3A00%20GMT FILE 
201: "N017E303.laz" 60835291 Mon%2C%2004%20Aug%202014%2009%3A03%3A00%20GMT FILE 
201: "N017E304.laz" 13013540 Mon%2C%2004%20Aug%202014%2009%3A03%3A00%20GMT FILE 
201: "N018E277.laz" 10187446 Mon%2C%2004%20Aug%202014%2009%3A03%3A00%20GMT FILE 
201: "N018E278.laz" 20838329 Mon%2C%2004%20Aug%202014%2009%3A03%3A00%20GMT FILE 
201: "N018E279.laz" 32727253 Mon%2C%2004%20Aug%202014%2009%3A04%3A00%20GMT FILE 
201: "N018E280.laz" 35544981 Mon%2C%2004%20Aug%202014%2009%3A04%3A00%20GMT FILE 
201: "N018E281.laz" 36256098 Mon%2C%2004%20Aug%202014%2009%3A05%3A00%20GMT FILE 
201: "N018E282.laz" 34211183 Mon%2C%2004%20Aug%202014%2009%3A05%3A00%20GMT FILE 
201: "N018E283.laz" 32722119 Mon%2C%2004%20Aug%202014%2009%3A06%3A00%20GMT FILE 
201: "N018E284.laz" 27952597 Mon%2C%2004%20Aug%202014%2009%3A07%3A00%20GMT FILE 
201: "N018E285.laz" 28045508 Mon%2C%2004%20Aug%202014%2009%3A07%3A00%20GMT FILE 
201: "N018E286.laz" 28007573 Mon%2C%2004%20Aug%202014%2009%3A08%3A00%20GMT FILE 
201: "N018E287.laz" 29009708 Mon%2C%2004%20Aug%202014%2009%3A08%3A00%20GMT FILE 
201: "N018E288.laz" 23866889 Mon%2C%2004%20Aug%202014%2009%3A09%3A00%20GMT FILE 
201: "N018E289.laz" 20760434 Mon%2C%2004%20Aug%202014%2009%3A09%3A00%20GMT FILE 
201: "N018E290.laz" 17595895 Mon%2C%2004%20Aug%202014%2009%3A09%3A00%20GMT FILE 
201: "N018E291.laz" 18497177 Mon%2C%2004%20Aug%202014%2009%3A10%3A00%20GMT FILE 
201: "N018E292.laz" 23454358 Mon%2C%2004%20Aug%202014%2009%3A10%3A00%20GMT FILE 
201: "N018E293.laz" 26945048 Mon%2C%2004%20Aug%202014%2009%3A10%3A00%20GMT FILE 
201: "N018E294.laz" 29667158 Fri%2C%2017%20May%202013%2006%3A52%3A00%20GMT FILE 
201: "N018E295.laz" 25611504 Fri%2C%2017%20May%202013%2006%3A53%3A00%20GMT FILE 
